"family","n_train","b0","censoring","corr","overlap","prognostic_form","auc_K1","auc_K2","auc_K3","auc_K4","auc_K5","optimal_K","oracle_rate","best_auc","k4_auc","auc_loss"
"linear",1000,0.18,0.46,"moderate","none","linear",0.914287729224269,0.934706344855733,0.982858446136548,0.981345455927721,0.973913547989549,3,0.491,0.982858446136548,0.981345455927721,0.00151299020882767
"linear",200,1.05,0.33,"moderate","none","quadratic",0.966155539985987,0.970889300370333,0.933036733059754,0.945079571614453,0.954706235612051,2,0.515,0.970889300370333,0.945079571614453,0.0258097287558803
"linear",300,1.86,0.09,"moderate","partial","quadratic",0.918190092770873,0.958144582531069,0.946180890700408,0.931226025855818,0.912366782526068,2,0.4925,0.958144582531069,0.931226025855818,0.0269185566752519
"radial",300,1.55,0.69,"moderate","partial","linear",0.682466777374328,0.734976495276335,0.688610432957836,0.730376240813949,0.712474543434168,2,0.589,0.734976495276335,0.730376240813949,0.00460025446238632
"radial",1000,0.46,0.53,"high","partial","mixed",0.958772711222393,0.86926802452491,0.955377564040832,0.956829116108115,0.874181432973806,1,0.528,0.958772711222393,0.956829116108115,0.00194359511427833
"radial",500,1.63,0.22,"high","partial","quadratic",0.820899011087803,0.82484781026585,0.816168500363885,0.844223639710604,0.821439273941521,4,0.8225,0.844223639710604,0.844223639710604,0
"random",500,1.93,0.26,"moderate","none","quadratic",0.845041047849305,0.855575334094955,0.848734025877414,0.936860702994235,0.918037142325779,4,0.0095,0.936860702994235,0.936860702994235,0
"random",300,0.06,0.62,"high","complete","mixed",0.948601445121689,0.974711870985426,0.950485625310737,0.978733322729505,0.941116743144275,4,0.4905,0.978733322729505,0.978733322729505,0
"random",1000,0.17,0.18,"low","partial","mixed",0.932563856204693,0.942624693606557,0.931903931865319,0.926686217008798,0.9226690028122,2,0.473,0.942624693606557,0.926686217008798,0.0159384765977592
"random",500,1.56,0.39,"moderate","partial","mixed",0.9503290253986,0.952734500753994,0.915952913468544,0.942545515003643,0.946752317050441,2,0.618,0.952734500753994,0.942545515003643,0.0101889857503515
"s_shaped",200,1.64,0.45,"moderate","partial","quadratic",0.982591438504302,0.988921141799773,NA,0.981712799788526,0.989900911581409,5,0.518,0.989900911581409,0.981712799788526,0.00818811179288359
"s_shaped",300,0.52,0.29,"moderate","none","quadratic",0.950889088908891,0.948182818281828,0.924598459845985,0.948878887888789,0.955648064806481,5,0.495,0.955648064806481,0.948878887888789,0.00676917691769185
"s_shaped",500,1.56,0.43,"high","partial","mixed",0.992816820420511,0.994290857271432,0.994150353758844,0.99171129278232,0.993826345658641,2,0.5025,0.994290857271432,0.99171129278232,0.00257956448911223
"s_shaped",300,1.45,0.17,"high","none","linear",0.981080027000675,0.974609865246631,0.975770394259856,0.958820470511763,0.97848046201155,1,0.4975,0.981080027000675,0.958820470511763,0.0222595564889122
