family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,vt_auc,oracle_method,gate_method,cv_method
enclave,500,0.749306664425582,0.749306664425582,,,0.749306664425582,6,6,4.0
random,300,0.534731048145933,0.519827178030303,0.519827178030303,0.534731048145933,0.519827178030303,2,6,6.0
bump,500,0.833072941411818,0.833072941411818,0.810001250281313,0.810001250281313,0.635104898602185,5,5,4.0
radial,500,0.860492511933785,0.860492511933785,0.834640885251275,0.860492511933785,0.778477187519207,4,4,5.0
bump,300,0.792531,0.638623,0.769887,0.769887,0.638623,1,6,2.0
s_shaped,200,0.580472795497186,0.580472795497186,0.503489180737961,0.503489180737961,0.580472795497186,6,6,2.0
cross,500,0.681772359869655,0.681772359869655,0.681772359869655,0.640124656387104,0.681772359869655,6,6,6.0
random,500,0.697779873897765,0.697779873897765,0.571215676572122,0.649671987289266,0.697779873897765,6,6,3.0
s_shaped,300,0.728929501250702,0.728929501250702,0.532832552082551,0.532865083345095,0.728929501250702,6,6,2.0
cross,300,0.564610219251993,0.564610219251993,0.498645975397677,0.5487840580741,0.564610219251993,6,6,3.0
additive,500,0.734529734529735,0.627580627580628,0.728780228780229,0.728780228780229,0.627580627580628,5,6,4.0
bump,200,0.779910572692955,0.779910572692955,0.779910572692955,0.649610143766052,0.779910572692955,6,6,6.0
random,300,0.777435598988013,0.777435598988013,0.613995381933499,0.613995381933499,0.777435598988013,6,6,2.0
cross,500,0.905776759593874,0.774969406680816,0.831197776248112,0.821955845236047,0.774969406680816,1,6,3.0
enclave,200,0.571526504798735,0.517423353744333,0.517423353744333,0.571526504798735,0.517423353744333,4,6,6.0
additive,300,0.682950586221104,0.682950586221104,0.546399170370133,0.539577424787292,0.682950586221104,6,6,3.0
bump,500,0.908794856710648,0.862005210521893,0.862005210521893,0.908794856710648,0.862005210521893,2,6,6.0
s_shaped,200,0.660997123202001,0.660997123202001,0.660997123202001,0.522549593495935,0.660997123202001,6,6,6.0
additive,500,0.791132804555623,0.791132804555623,0.769053479884306,0.778736383573227,0.791132804555623,6,6,2.0
bump,500,0.971062692164155,0.930084514708281,0.971062692164155,0.971062692164155,0.886732081270992,4,5,4.0
bump,300,0.902539029095917,0.784585594965549,0.784585594965549,0.902539029095917,0.784585594965549,4,6,6.0
enclave,1000,0.994640045626888,0.994640045626888,0.994640045626888,0.893678507165349,0.994640045626888,6,6,6.0
random,200,0.646506309998921,0.646506309998921,0.646506309998921,0.492721389278395,0.646506309998921,6,6,6.0
cross,500,0.815138299874655,0.65331723472334,0.790641982131344,0.790641982131344,0.65331723472334,2,6,4.0
s_shaped,500,0.868960796029461,0.868960796029461,0.797856997735095,0.813895486103813,0.797856997735095,1,1,6.0
enclave,500,0.945525813774651,0.945525813774651,0.945525813774651,0.54058454358068,0.945525813774651,6,6,6.0
bump,1000,0.862631906145793,0.862631906145793,0.840650968905138,0.862631906145793,0.798498564937217,4,4,1.0
enclave,500,0.888167873250653,0.888167873250653,0.888167873250653,0.819556665426066,0.888167873250653,6,6,6.0
linear,500,0.958015251904488,0.887577219768261,0.877005013283401,0.958015251904488,0.887577219768261,4,6,3.0
linear,200,0.754479979636912,0.754479979636912,0.695715133221897,0.695715133221897,0.648282766333562,5,5,4.0
cross,500,0.734345458983365,0.734345458983365,0.475186580285373,0.475186580285373,0.734345458983365,6,6,4.0
cross,500,0.75426718017304,0.579213724324681,0.71226718842877,0.75426718017304,0.579213724324681,2,6,1.0
random,200,0.612451686865378,0.543586636095644,0.543586636095644,0.612451686865378,0.543586636095644,4,6,6.0
enclave,500,0.810913838330195,0.655268832778126,0.655268832778126,0.536265469350971,0.655268832778126,2,6,6.0
bump,500,0.829793917567027,0.698134253701481,0.713109743897559,0.713109743897559,0.700737294917967,1,5,4.0
additive,200,0.605296921187685,0.595272381089524,0.595272381089524,0.569470777883112,0.595272381089524,2,6,6.0
radial,300,0.659409327871905,0.659409327871905,0.513279262086514,0.531365719191543,0.659409327871905,6,6,5.0
linear,1000,0.946366347559274,0.946366347559274,0.946366347559274,0.927879194724874,0.921037177395231,5,5,5.0
cross,200,0.637596220501075,0.538545537569256,0.489524349688365,0.484815989106977,0.538545537569256,2,6,1.0
random,500,0.905069109537507,0.905069109537507,0.821038668768196,0.821038668768196,0.905069109537507,6,6,4.0
cross,200,0.786217053737604,0.786217053737604,0.786217053737604,0.53409940351341,0.786217053737604,6,6,6.0
cross,200,0.744736431049508,0.744736431049508,0.556137884542659,0.596673634061724,0.744736431049508,6,6,1.0
linear,300,0.892508974343582,0.892508974343582,0.892508974343582,0.711276757950848,0.892508974343582,6,6,6.0
cross,500,0.766846067318508,0.766846067318508,0.450587522713507,0.565425283378039,0.766846067318508,6,6,1.0
s_shaped,200,0.526659521836762,0.481412935144157,0.481412935144157,0.491972573459659,0.510599165035564,1,5,5.0
s_shaped,500,0.702884933679628,0.663295726953883,0.674855163268225,0.674855163268225,0.663295726953883,3,6,4.0
