feature,importance
delta_c_index,0.05322296285425219
te_int_max_z,0.04489080924532989
bootstrap_ci_sd,0.034544237160950106
c_index_ratio,0.03428184099470774
corr_max,0.03374250223562933
orig_ambiguity,0.031090063679213027
orig_pred_mean,0.030551147102605102
score_var,0.0291516089512694
trt_main_p,0.029139730009683455
c_index,0.02850807297115346
cfg_te_scale,0.027716020729956232
te_quadratic_p,0.027282839248261696
te_int_mean_z,0.02646661394214911
score_kurt,0.026437375509953717
score_skew,0.026141942884996022
corr_mean,0.02594168492920856
score_q90_q10,0.025745129790616612
orig_pred_var,0.02537674488367509
c_index_ctrl,0.02478534428569598
te_slope,0.02477717553358956
c_index_trt,0.024495243666416838
event_count_ctrl,0.02437589522959774
event_count_trt,0.024365850013204206
mean_followup,0.02420829036727295
bootstrap_ci_mean,0.023710005101418113
te_int_prop_sig,0.02364078705294404
prop_interact_sig,0.02355178839097455
e_per_p,0.02331832529097383
median_followup,0.023170609817319936
cfg_b0,0.023057268856166317
te_bin_var,0.022679191405355452
te_bin_event_rate_range,0.022243145245835094
te_max_diff,0.021917622533629114
censoring_rate,0.02058784034014372
event_rate,0.020194556721859713
cfg_n_predictive,0.01589446891747872
cfg_n_prognostic,0.012669462646279715
corr_prop_high,0.011207735390887187
n,0.004918066069346397
p,0.0
